Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.115823845803328,0.0844461093702982,0.0471980144973141,0,0,0,3.17049103377095,0.00756848298117278,-5.47577884760089E-07,-1.1598651509817E-05,0.00567333147151148,-3.00885497222152E-07,0.0125111608554953,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140329,0.00297622851896683,0,0,0,0.0727928435161987,2.20927876796313E-05,-1.64845302056352E-08,-1.56454773175211E-07,1.62632133784213E-05,2.96411876511624E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.054044,0.20015,-0.036503,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,2.60208521396521E-18,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588129E-22,-1.83311841364852E-20,0.000639661580367031,-3.3881317890172E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056319E-08,1.56454773175213E-07,1.62632133784213E-05,-2.9641187651064E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10307,-0.060531,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,1.0842021724855E-19,0,0,0,0,0.767080911081152,0.00116426102407189,-5.00173420246734E-37,4.60638074444741E-39,0.000639661580367031,-2.21718708608611E-36,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.0379118055572974,-2.77555756156289E-17,0,0,0,0.267907831135781,0.000143692176240137,-1.61658416696391E-20,3.3708933537889E-20,0.000133232444751409,-1.55548647157759E-20,0.000142591850334766,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2;Alba-1,Origin_LBS,,LBS,fixed,-0.202,0.24575,-0.014362,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBS,1.38777878078145E-17,-0.0379118055572974,2.77555756156289E-17,0,0,0,0.267907831135781,0.000143692176240137,2.9414871020019E-20,1.51976637503567E-20,0.000133232444751409,-1.56191406706292E-20,0.000142591850334766,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1;Alba-2,Origin_RBS,,RBS,fixed,-0.202,-0.07975,-0.014362,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
fcam,-0.0115544746517359,-2.64429642851671E-06,0.00129029302682182,0,0,0,0.0436119957238951,2.35707061906176E-05,-1.01842273867646E-09,2.17585832536696E-08,4.29479050056029E-06,-8.8501811870376E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.0201034645299101,-2.64354903260766E-06,-0.007258695056636,0,0,0,0.0436119949785284,2.357070560996E-05,-1.01834758005789E-09,2.17579332532706E-08,4.29479078276664E-06,-8.85484503941633E-10,2.21058144654637E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.083,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523359590981,0.000461955963376282,-0.0287648854974011,0,0,0,0.0730845717051193,1.95808757063097E-05,-1.03933582026919E-07,-4.28391168330414E-07,2.41250079684553E-05,9.42710505720655E-09,4.14184516030622E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.13458,0.082006,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
